id,volume
1101, 27225
1102, 4219
1103, 158
1104, 169
1108, 212
1109, 112
1110, 114
1201, 92
1203, 17
1210, 683
1213, 13
1215, 290
1216, 7265
1217, 2970
1218, 1646
1219, 397
1220, 156
1225, 25
1227, 280
1229, 581
1231, 127
1232, 101
1233, 4
1234, 414
1235, 4
1236, 139
1240, 7
1256, 11
1258, 87
1259, 49
1260, 4
1264, 1
1268, 53
1269, 2
1271, 11
1294, 8
1301, 5754
1303, 3045
1304, 1323
1305, 4354
1307, 93
1308, 599
1309, 722
1310, 220
1312, 4165
1313, 876
1314, 6178
1315, 6
1316, 295
1319, 3863
1321, 68
1323, 25
1324, 25
1325, 263
1326, 1752
1336, 205
1337, 459
1338, 66
1339, 69
1340, 69
1341, 13
1342, 7449
1343, 16
1402, 4714
1409, 1120
1410, 55
1413, 39
1414, 226
1416, 648
1417, 37359
1418, 6
1419, 79
1423, 12
1432, 333
1434, 496
1436, 36
1437, 191
1438, 45
1439, 34
1440, 569
1441, 51
1442, 867
1443, 46
1444, 9612
1445, 401
1446, 93
1447, 1072
1449, 206
1451, 288
1452, 62
1453, 183
1454, 59
1455, 791
1456, 55
1457, 133
1459, 8
1460, 209
1463, 71
1464, 117
1465, 3
1466, 42
1467, 8366
1468, 44
1470, 4
1471, 155
1472, 9
1473, 107
1474, 83
1475, 105
1476, 1230
1477, 1966
1503, 5698
1504, 10227
1506, 107
1512, 204
1513, 45123
1514, 5199
1515, 319
1516, 37
1517, 347
1519, 66135
1521, 7
1522, 1896
1524, 2643
1525, 62
1526, 144
1527, 156
1528, 146
1529, 34757
1530, 33
1531, 22
1532, 148
1533, 130
1535, 68
1536, 3523
1537, 25
1538, 7
1539, 445
1540, 69
1541, 6
1558, 25
1560, 2059
1563, 257
1565, 199
1568, 124
1569, 135
1570, 38
1580, 146
1582, 78
1583, 3
1584, 5515
1585, 59
1586, 153
1587, 91
1589, 640
1590, 615
1591, 37
1593, 12
1594, 0
1595, 15
1597, 43
1598, 136
1599, 92
1603, 345
1604, 292
1605, 51421
1608, 435
1609, 8783
1611, 320
1612, 739
1614, 18
1615, 23
1616, 92
1617, 138
1618, 2971
1626, 34
1701, 12795
1702, 107
1707, 734
1708, 841
1709, 347
1710, 550
1711, 555
1712, 1172
1713, 92
1714, 1113
1717, 570
1718, 3662
1720, 3278
1721, 381
1722, 1753
1723, 222
1725, 15
1726, 26
1727, 146
1730, 18
1731, 250
1732, 430
1733, 170
1734, 2005
1735, 21
1736, 7277
1737, 99
1742, 29
1752, 11533
1760, 7569
1762, 971
1773, 64
1776, 4
1777, 69
1780, 0
1781, 58
1783, 2427
1784, 236
1785, 2035
1786, 717
1788, 11
1789, 684
