id,yVolume,ma5,ma20,ma60
0015,0,0,0,0
0050,44330,25259,14631,13372
0051,62,42,28,38
0052,798,470,345,333
0053,6,10,8,8
0054,0,0,0,0
0055,433,305,220,248
0056,36671,19073,16431,21368
0057,5,42,18,9
0058,0,0,0,0
0059,0,0,0,0
0060,0,0,0,0
0061,442,362,198,215
0080,0,0,0,0
0081,0,0,0,0
1101,39967,32874,24630,28642
1102,11433,5533,7262,7234
1103,318,274,160,189
1104,844,596,447,436
1107,0,0,0,0
1108,158,138,152,195
1109,233,115,78,118
1110,142,80,102,100
1201,276,291,179,232
1203,69,39,24,23
1210,1651,1091,1051,859
1213,14,8,7,11
1215,616,351,436,363
1216,21485,9859,6855,9389
1217,1452,1007,1923,2004
1218,3066,2368,2686,4282
1219,1804,2353,996,839
1220,207,316,242,169
1225,16,5,8,25
1227,729,720,488,425
1229,1985,1193,928,815
1231,414,353,224,188
1232,72,57,100,87
1233,8,9,10,10
1234,487,520,367,271
1235,4,4,6,11
1236,334,107,149,151
1240,6,10,11,25
1256,37,18,12,17
1258,13,41,80,196
1259,6,9,10,9
1262,0,0,0,0
1264,23,20,13,11
1268,102,115,149,163
1301,14525,7000,6255,7214
1303,14081,6351,5993,8356
1304,3534,3148,3399,2850
1305,5793,4640,6215,4337
1307,109,60,63,121
1308,1787,2214,1583,1739
1309,1068,1098,1027,1414
1310,404,357,359,423
1311,0,0,0,0
1312,4157,3775,3457,4747
1313,4595,3596,1731,1721
1314,9057,5275,5147,7228
1315,16,9,12,38
1316,569,495,547,861
1319,5557,3295,4853,6468
1321,116,126,94,93
1323,23,44,44,43
1324,16,36,22,20
1325,438,322,1333,896
1326,9302,4094,2534,3120
1333,0,0,0,0
1336,3000,1032,429,687
1337,672,286,340,751
1338,249,113,102,140
1339,222,90,110,169
1340,93,77,106,122
1341,18,17,17,19
1342,1366,1570,2978,2485
1402,18902,8003,9628,13192
1408,0,0,0,0
1409,2120,1307,1630,2472
1410,164,90,81,468
1413,47,34,26,76
1414,191,225,285,232
1416,104,56,204,145
1417,1670,1403,9888,7626
1418,4,13,15,15
1419,38,47,33,71
1423,252,105,81,209
1432,967,473,305,306
1434,1957,867,835,935
1435,0,0,0,0
1436,20,19,30,38
1437,111,60,249,235
1438,84,84,40,44
1439,308,591,170,177
1440,1234,625,738,1004
1441,53,31,36,35
1442,1283,953,1148,1319
1443,703,1859,635,261
1444,1423,1251,3696,2889
1445,940,1509,651,239
1446,65,34,56,72
1447,1061,745,702,865
1449,101,97,347,436
1451,285,277,265,382
1452,72,57,60,70
1453,254,177,176,545
1454,53,90,64,83
1455,531,444,456,656
1456,18,22,34,48
1457,387,207,177,242
1459,48,37,49,58
1460,671,380,320,505
1462,0,0,0,0
1463,172,433,224,126
1464,179,137,158,176
1465,40,20,52,65
1466,103,68,59,79
1467,721,3321,3858,3741
1468,138,282,103,64
1469,0,0,0,0
1470,11,17,27,30
1471,146,185,154,347
1472,11,19,12,10
1473,172,268,124,170
1474,174,73,59,118
1475,118,228,171,185
1476,2760,1268,947,784
1477,3162,2078,1555,1780
1503,824,597,1002,481
1504,6008,2371,2584,3387
1506,391,266,265,319
1507,0,0,0,0
1512,373,348,359,365
1513,27564,16458,23662,21481
1514,6914,4665,4139,3248
1515,427,519,532,637
1516,189,196,315,211
1517,477,334,388,1182
1519,11254,6686,12936,7108
1520,0,0,0,0
1521,19,15,15,18
1522,1550,1229,2926,3607
1523,0,0,0,0
1524,3083,1842,4375,6797
1525,80,37,26,35
1526,185,170,168,399
1527,266,143,128,160
1528,297,215,282,381
1529,9419,6970,8460,4360
1530,44,29,22,33
1531,57,65,49,76
1532,548,297,221,238
1533,166,131,130,246
1535,156,120,100,73
1536,3814,1338,1637,1926
1537,93,45,40,70
1538,7,6,9,13
1539,378,362,483,1612
1540,67,101,88,139
1541,9,8,10,24
1558,45,40,56,96
1560,8155,7157,4886,6899
1565,163,110,98,201
1566,0,0,0,0
1568,221,135,207,551
1569,234,132,156,271
1570,50,165,79,55
1580,230,136,115,93
1582,138,82,74,109
1583,18,6,4,6
1584,11422,10588,9161,11829
1586,54,55,66,118
1587,31,40,61,74
1589,441,336,430,301
1590,1865,1167,645,667
1591,966,300,229,439
1592,0,0,0,0
1593,33,17,22,43
1595,13,20,18,33
1597,152,56,38,77
1598,180,117,183,292
1599,39,37,47,63
1601,0,0,0,0
1603,263,177,236,336
1604,213,164,234,268
1605,159348,60992,72258,81635
1606,0,0,0,0
1608,5188,4005,1408,1495
1609,6173,3421,5065,5162
1611,868,550,525,762
1612,6309,5690,2110,1423
1613,0,0,0,0
1614,191,99,39,47
1615,93,169,73,46
1616,87,97,75,117
1617,18,24,43,31
1618,447,887,1067,1034
1626,55,83,54,84
1701,6966,7042,12334,9271
1702,233,135,154,340
1704,0,0,0,0
1707,825,857,1023,860
1708,2410,1774,1676,2960
1709,376,333,373,692
1710,882,816,1597,1228
1711,838,536,1047,1569
1712,1870,966,866,1655
1713,48,46,89,67
1714,726,625,1232,1275
1715,0,0,0,0
1716,0,0,0,0
1717,2870,1308,1389,1520
1718,2011,2442,5392,4288
1720,1161,1529,6545,4290
1721,522,347,561,1425
1722,1640,1263,1232,1365
1723,325,170,148,216
1724,0,0,0,0
1725,41,21,18,48
1726,13,17,19,17
1727,368,196,213,554
1729,0,0,0,0
1730,38,16,14,30
1731,201,183,268,387
1732,340,292,874,789
1733,247,172,259,302
1734,2675,1616,4455,4183
1735,4,10,6,8
1736,1872,1756,2187,3063
1737,247,121,93,116
1742,70,36,33,40
1752,4639,7441,23803,10693
1760,4243,5341,12432,14712
1762,640,496,2384,1627
1773,434,172,134,272
1776,5,10,9,16
1777,76,53,198,212
1781,39,47,153,169
1783,1196,3070,3847,1714
1784,142,177,339,352
1785,1433,1017,851,1785
1786,335,306,1240,587
1787,0,0,0,0
1788,31,22,16,17
1789,1372,887,1865,1820
1795,8070,11826,12272,15123
1796,41,31,99,105
1799,6,18,11,11
1802,12357,5548,10046,13694
1805,25,27,33,22
1806,262,177,218,568
1807,0,0,0,0
1808,330,160,421,280
1809,3333,3641,1523,1203
1810,4813,3587,8295,11763
1813,57,246,89,98
1815,3887,1337,1217,1804
1817,498,160,101,94
1902,0,0,0,0
1903,146,142,73,76
1904,1221,759,715,751
1905,718,510,586,771
1906,2372,620,265,392
1907,1221,1223,1027,2379
1909,12482,7845,7439,4187
2002,57450,29381,37463,34788
2006,1840,1813,1519,1591
2007,2893,1777,4024,2301
2008,55,43,46,35
2009,10909,11746,5216,7425
2010,1265,536,518,515
2012,143,62,111,116
2013,271,163,184,221
2014,24832,27303,26769,21872
2015,746,262,165,247
2017,1935,713,997,673
2020,505,245,174,214
2022,666,450,694,857
2023,8467,4119,5711,4650
2024,95,50,51,44
2025,302,126,273,242
2027,13288,7786,10938,14438
2028,2474,2533,2498,1594
2029,1308,560,605,452
2030,1944,1210,1950,2222
2031,3149,2707,2866,2321
2032,1065,850,1844,1186
2033,388,1078,1209,661
2034,2316,1498,1929,2078
2035,57,39,30,18
2038,3021,2306,2870,1979
2049,7798,3152,1473,1282
2059,562,393,234,356
2061,88,126,72,110
2062,146,265,237,288
2063,88,148,230,161
2064,61,27,45,41
2065,97,149,88,79
2066,243,130,118,235
2067,86,54,30,30
2069,514,382,970,678
2070,58,72,62,112
2101,974,439,479,565
2102,336,186,337,596
2103,1362,825,705,866
2104,1655,1188,964,1584
2105,7483,3529,2292,2702
2106,623,303,295,448
2107,281,290,188,216
2108,1039,644,791,942
2109,96,103,134,95
2114,21,15,14,20
2115,21,16,21,33
2201,28439,27731,23465,30106
2204,11778,3550,2001,2772
2206,4468,2194,1552,3061
2207,1057,350,220,244
2208,2768,1468,1929,4182
2211,142,154,2674,2321
2221,94,52,60,121
2227,99,31,30,43
2228,156,94,130,235
2230,2344,4200,2470,1503
2231,495,272,453,767
2233,94,83,93,118
2235,1,11,9,17
2236,1637,1287,973,560
2239,96,40,58,100
2241,92,49,30,37
2243,779,319,734,311
2247,60,33,32,49
2250,8,14,12,37
2301,13511,6472,7011,8340
2302,381,371,321,775
2303,264741,116808,65689,69035
2305,374,334,602,4686
2308,17766,8524,5595,6059
2311,0,0,0,0
2312,4770,4653,2982,7344
2313,18391,11096,9575,12976
2314,641,487,471,1069
2315,0,0,0,0
2316,185,80,70,137
2317,88808,38205,28962,38595
2321,31,29,19,20
2323,8091,2706,2124,3492
2324,20332,10312,10582,12861
2325,0,0,0,0
2326,0,0,0,0
2327,6711,3215,2978,3479
2328,3274,1815,2275,4650
2329,1481,896,1177,2460
2330,148413,64181,34614,40302
2331,1596,761,854,1741
2332,2110,1569,4264,2395
2336,0,0,0,0
2337,13601,5447,8320,11688
2338,8052,11400,9068,10611
2340,2533,1242,965,2634
2341,0,0,0,0
2342,1134,1123,635,1692
2344,32961,12812,11337,14113
2345,5449,2825,2616,2803
2347,7077,3526,3791,4920
2348,81,54,59,100
2349,3062,1322,925,1120
2350,0,0,0,0
2351,3863,1469,1132,1848
2352,6208,2836,4052,4571
2353,13569,7175,6216,9498
2354,16710,4750,3051,3172
2355,900,377,346,884
2356,15837,7452,7923,10481
2357,4610,1966,1888,2758
2358,3917,16650,6194,3859
2359,1767,1577,2862,2829
2360,1745,1197,878,1207
2361,0,0,0,0
2362,491,169,121,150
2363,2993,1418,1971,2243
2364,371,383,449,2400
2365,760,1007,399,295
2367,3177,2653,3048,9439
2368,5350,5370,5657,8290
2369,560,471,413,838
2371,5603,3523,4650,8076
2373,107,109,93,76
2374,450,303,361,630
2375,378,344,328,403
2376,13248,6042,6441,9610
2377,5530,2775,3071,4038
2379,5570,3231,2925,4293
2380,2283,854,765,1078
2381,0,0,0,0
2382,11733,6069,7661,8363
2383,1863,2521,2075,3323
2384,0,0,0,0
2385,1994,1088,1359,1674
2387,299,221,294,626
2388,5788,5408,7485,19570
2390,520,474,695,1102
2391,0,0,0,0
2392,2489,882,689,1585
2393,931,535,402,914
2395,2298,1166,600,888
2396,0,0,0,0
2397,71,45,89,46
2399,5110,2844,1878,3708
2401,1901,967,1024,1567
2402,1513,1466,1654,5024
2403,0,0,0,0
2404,2304,1463,961,799
2405,980,1305,745,1838
2406,1493,798,955,2183
2408,24243,10059,8070,9867
2409,81862,30828,35397,43115
2410,0,0,0,0
2411,0,0,0,0
2412,31598,12375,7692,8716
2413,809,1029,1305,3939
2414,60,53,46,91
2415,678,203,113,120
2417,357,278,274,789
2418,0,0,0,0
2419,1444,1388,3552,3544
2420,105,93,68,92
2421,926,740,913,2220
2423,160,117,134,140
2424,23,25,83,59
2425,915,1198,1918,1785
2426,303,267,261,361
2427,156,107,125,237
2428,2409,1658,1163,576
2429,11,19,16,21
2430,127,85,126,97
2431,267,187,189,155
2432,0,0,0,0
2433,41,17,15,19
2434,80,56,43,39
2436,4343,2564,1338,2633
2437,0,0,0,0
2438,62,610,221,97
2439,809,414,392,1004
