id,yVolume,ma5,ma20,ma60,ma120,ma240
0015,0,0,0,0,0,0
0050,7895,6558,7910,11198,12464,12065
0051,25,46,36,34,36,38
0052,514,350,365,344,360,468
0053,12,9,9,9,8,9
0054,0,0,0,0,0,11
0055,116,196,199,217,230,425
0056,16093,17861,21475,19604,32886,27185
0057,6,8,9,11,8,52
0058,0,0,0,0,0,0
0059,0,0,0,0,0,0
0060,0,0,0,0,0,0
0061,195,126,117,179,190,191
0080,0,0,0,0,0,0
0081,0,0,0,0,0,0
1101,12798,21663,21705,25356,29344,23939
1102,3221,4568,4242,7137,7173,6747
1103,363,930,1275,546,378,378
1104,305,485,645,565,471,525
1107,0,0,0,0,0,0
1108,1136,1970,2960,1124,662,430
1109,165,147,162,139,160,179
1110,43,100,125,110,116,291
1201,662,1105,754,400,375,570
1203,10,29,30,29,25,36
1210,4361,8369,3348,1765,1278,1284
1213,8,9,11,9,15,25
1215,1185,4756,1543,814,557,484
1216,6221,7719,5524,7907,8223,7837
1217,1999,4237,2722,2407,1723,3026
1218,1564,1957,2191,4131,2830,2281
1219,3242,8295,2916,1543,1184,3275
1220,1902,5291,1481,630,412,1711
1225,4,15,29,19,27,75
1227,986,531,465,493,505,666
1229,506,814,842,877,958,1350
1231,129,265,207,215,207,284
1232,48,63,56,90,72,76
1233,5,33,23,16,11,15
1234,288,466,426,379,255,207
1235,2,2,4,7,12,42
1236,115,151,212,187,160,512
1240,152,633,193,78,55,268
1256,83,56,47,29,21,22
1258,139,857,276,141,308,566
1259,39,40,45,21,18,15
1262,0,0,0,0,0,0
1264,18,24,20,16,13,12
1268,373,493,702,387,216,116
1301,4651,4792,4484,6674,8239,8711
1303,3442,3727,3615,6575,7239,8485
1304,1151,1615,1684,3091,2351,3142
1305,2276,4035,2487,5094,3118,2381
1307,212,143,95,114,133,116
1308,1247,1355,1264,1924,1771,2255
1309,872,1169,951,1643,1101,889
1310,933,464,423,470,450,628
1311,0,0,0,0,0,0
1312,1552,1543,2037,4444,3495,3805
1313,1414,1276,1695,2063,1620,1820
1314,6920,7528,7405,7916,7203,15869
1315,19,13,17,16,27,28
1316,970,1033,876,831,1183,2084
1319,1836,3070,2453,5367,5612,7119
1321,244,257,227,140,161,190
1323,30,32,53,49,54,69
1324,29,36,28,25,25,48
1325,264,227,270,925,583,723
1326,1737,2399,2111,2600,3070,3885
1333,0,0,0,0,0,0
1336,905,1033,1233,958,770,556
1337,299,271,420,473,965,648
1338,163,146,105,127,163,248
1339,308,269,167,166,169,296
1340,126,141,211,143,129,116
1341,10,11,15,19,15,13
1342,2368,4232,8851,5137,3321,1767
1402,5306,5747,6363,11876,10417,9095
1408,0,0,0,0,0,0
1409,3698,2467,2464,2577,2229,2406
1410,49,48,83,163,565,347
1413,254,156,76,59,121,229
1414,92,212,206,252,197,226
1416,270,265,493,267,196,186
1417,917,1054,3827,8600,4643,2405
1418,13,18,17,15,19,40
1419,16,80,61,55,64,59
1423,43,54,54,80,139,109
1432,2998,1674,2540,1075,744,933
1434,1388,1728,1096,1000,1040,1438
1435,0,0,0,0,0,34
1436,52,46,28,31,38,91
1437,804,1443,1828,833,449,458
1438,1017,468,255,121,77,85
1439,215,537,192,133,130,77
1440,1252,1357,1274,1067,1095,1930
1441,42,60,54,44,47,71
1442,641,700,779,1086,1275,811
1443,218,212,455,529,332,299
1444,2426,2422,3279,2982,3442,3034
1445,152,92,110,286,172,116
1446,84,74,70,64,137,111
1447,2639,1642,2260,1323,1177,1362
1449,1032,430,206,255,823,513
1451,276,253,453,363,400,455
1452,143,134,99,85,80,145
1453,174,243,737,600,668,2592
1454,188,102,66,77,86,333
1455,487,421,472,585,690,1169
1456,25,28,45,42,56,62
1457,402,970,429,321,287,389
1459,47,54,54,56,87,302
1460,781,897,598,499,551,727
1462,0,0,0,0,0,0
1463,36,142,192,176,118,98
1464,612,716,314,219,257,314
1465,200,97,56,58,60,60
1466,42,37,66,77,71,112
1467,229,1296,1672,3222,2939,1998
1468,79,53,65,74,60,59
1469,0,0,0,0,0,0
1470,13,27,35,30,27,100
1471,711,408,306,314,413,1004
1472,2,6,16,12,13,16
1473,261,642,815,380,276,284
1474,93,177,125,136,234,221
1475,319,168,162,156,147,118
1476,1270,1634,941,893,857,952
1477,3202,2859,1869,1822,2150,2197
1503,15920,6231,7197,2851,1673,1048
1504,35038,14128,10650,5631,4490,4478
1506,819,1294,1399,715,538,773
1507,0,0,0,0,0,7
1512,0,81,566,554,346,228
1513,36497,23796,33249,29861,20329,19798
1514,16691,9508,9947,6001,4093,4845
1515,853,846,589,696,677,906
1516,606,620,532,355,361,754
1517,915,567,483,704,1489,1344
1519,28067,12124,14320,12021,7848,4647
1520,0,0,0,0,0,0
1521,67,50,41,25,24,64
1522,2516,1718,2695,3757,3442,8782
1523,0,0,0,0,0,0
1524,4442,2454,4210,6472,8178,21424
1525,98,54,55,37,40,44
1526,357,482,238,279,478,536
1527,484,655,393,248,242,398
1528,950,1144,750,554,483,817
1529,4873,2778,4146,5393,4786,4031
1530,218,80,47,36,37,27
1531,196,218,187,117,100,120
1532,1876,1035,823,463,403,341
1533,327,277,333,265,329,1759
1535,263,377,385,186,124,88
1536,1080,1056,979,1521,2650,2007
1537,50,63,70,65,93,94
1538,4,7,5,12,9,16
1539,2232,2972,1106,969,1791,3431
1540,3861,1641,1135,452,318,441
1541,119,142,197,77,58,248
1558,118,131,79,77,102,79
1560,2056,1902,1820,5060,5210,10602
1565,53,112,129,177,171,142
1566,0,0,0,0,0,0
1568,317,265,267,532,705,2484
1569,227,357,284,253,463,645
1570,51,59,59,64,64,160
1580,470,226,123,117,88,87
1582,103,127,128,113,123,145
1583,336,69,22,11,10,9
1584,16132,10328,15966,15868,9550,7203
1586,333,152,112,103,104,109
1587,154,348,142,93,139,285
1589,972,766,1012,693,632,779
1590,839,708,775,709,657,653
1591,414,545,1232,636,513,793
1592,0,0,0,0,0,0
1593,34,102,174,89,60,55
1595,49,57,49,34,29,27
1597,1187,308,166,96,89,105
1598,562,363,872,554,376,344
1599,184,90,86,72,95,215
1601,0,0,0,0,0,0
1603,772,486,442,417,432,505
1604,219,239,220,249,312,350
1605,104860,86816,64318,74690,70179,78574
1606,0,0,0,0,0,0
1608,829,819,954,1314,1315,1493
1609,36700,13880,12666,9733,6479,10384
1611,1125,944,1244,1008,1022,4040
1612,969,749,973,1569,1415,1874
1613,0,0,0,0,0,0
1614,77,43,55,48,59,69
1615,49,103,90,70,58,65
1616,222,168,203,147,146,369
1617,75,42,25,34,33,55
1618,422,277,333,731,1291,770
1626,742,314,143,108,117,169
1701,4925,5915,8384,12652,6561,4546
1702,291,397,313,234,274,271
1704,0,0,0,0,0,0
1707,649,996,756,1121,662,428
1708,5303,9620,3834,2849,4700,20972
1709,3399,2806,1755,1034,983,3330
1710,19574,5007,1658,1546,1266,1452
1711,1593,929,739,1649,1233,3008
1712,2862,4239,1852,1663,2400,4306
1713,33,58,74,74,69,62
1714,1311,1760,1126,1273,1740,1768
1715,0,0,0,0,0,0
1716,0,0,0,0,0,0
1717,1251,883,839,1444,1486,3804
1718,9526,4232,2789,4661,3357,2847
1720,2053,3498,1874,4870,2622,1687
1721,751,737,848,1472,1290,3364
1722,995,1076,1179,1389,1583,4134
1723,333,202,253,225,264,526
1724,0,0,0,0,0,0
1725,8,42,28,47,162,172
1726,37,19,18,19,18,24
1727,401,458,320,544,534,2450
1729,0,0,0,0,0,0
1730,22,21,24,34,25,24
1731,188,300,211,403,299,456
1732,320,195,245,716,866,3309
1733,521,277,410,384,345,549
1734,931,1018,1350,4502,2714,3120
1735,13,14,13,8,9,15
1736,429,536,836,2092,2817,1523
1737,622,302,274,167,169,195
1742,214,384,137,71,84,131
1752,3028,6850,6341,13018,6575,3364
1760,9140,7036,6136,11243,13058,11957
1762,3204,3881,2045,2203,1309,1385
1773,290,294,351,329,329,509
1776,61,34,39,22,21,33
1777,193,161,132,217,179,106
1781,65,76,160,195,178,210
1783,3480,4460,5909,3715,2213,1594
1784,1447,593,1279,779,492,354
1785,1187,1161,1483,1780,1870,2038
1786,1506,1428,867,871,510,331
1787,0,0,0,0,0,0
1788,37,37,26,20,24,45
1789,887,990,925,1999,1526,1846
1795,10477,6990,16634,11743,16525,15475
1796,125,250,395,257,159,120
1799,8,29,24,17,23,79
1802,2883,2842,2516,9803,9361,6834
1805,12,37,83,46,43,47
1806,326,407,266,360,561,770
1807,0,0,0,0,0,0
1808,145,232,387,372,305,416
1809,375,760,1132,1509,1051,710
1810,4045,4587,8148,10311,7731,4257
1813,25,33,36,63,88,92
1815,1801,1814,1233,1198,1670,1713
1817,133,146,124,126,97,78
1902,0,0,0,0,0,0
1903,192,118,141,100,84,96
1904,769,646,764,783,755,1235
1905,794,1292,833,746,797,1286
1906,178,235,342,401,424,653
1907,3510,2691,1734,1753,1906,1739
1909,1700,2583,2721,4585,3303,3099
2002,17149,21782,17070,32118,29061,33952
2006,1687,3263,1863,1829,1870,3224
2007,1356,1071,1323,2639,1755,1814
2008,59,32,37,40,33,57
2009,1811,1677,4515,5782,5705,3737
2010,471,422,455,549,541,1080
2012,106,96,78,126,98,180
2013,134,205,367,292,283,761
2014,11071,14823,13076,22874,16651,16025
2015,431,535,316,282,269,320
2017,2499,1779,2282,1436,964,1115
2020,243,198,126,197,279,427
2022,728,727,860,925,797,1058
2023,3945,2739,2630,5103,4020,5337
2024,16,39,34,49,45,223
2025,641,752,544,365,314,395
2027,17810,10380,8232,13362,11687,13993
