id,kbar,yOpen,yClose,yHigh,yVolume,ma5,ma20,ma60,ma120,ma240
0015,G,0.0,0.0,0.0,0,0,0,0,0,0
0050,R,126.9,127.25,127.4,6557,10158,9086,8175,9472,10188
0051,R,69.75,70.0,70.0,83,64,73,69,87,63
0052,R,118.65,119.2,119.3,233,233,292,277,308,321
0053,R,68.4,68.45,68.5,12,9,8,8,9,9
0054,G,0.0,0.0,0.0,0,0,0,0,0,0
0055,R,23.59,23.6,23.65,70,115,103,148,203,210
0056,R,34.54,34.55,34.6,16915,19047,47447,32445,42776,31549
0057,G,0.0,0.0,0.0,0,2,6,7,8,9
0058,G,0.0,0.0,0.0,0,0,0,0,0,0
0059,G,0.0,0.0,0.0,0,0,0,0,0,0
0060,G,0.0,0.0,0.0,0,0,0,0,0,0
0061,G,17.5,17.46,17.5,46,75,129,174,201,182
0080,G,0.0,0.0,0.0,0,0,0,0,0,0
0081,G,0.0,0.0,0.0,0,0,0,0,0,0
1101,G,33.0,32.9,33.1,16366,22306,27551,24014,21363,23945
1102,R,40.3,40.4,40.55,3862,3460,5189,4528,5746,5776
1103,R,18.3,18.4,18.4,135,198,189,339,793,665
1104,G,26.6,26.6,26.7,581,467,587,938,1760,1625
1107,G,0.0,0.0,0.0,0,0,0,0,0,0
1108,R,14.1,14.3,14.55,1331,626,498,716,1140,1418
1109,G,17.75,17.7,17.85,88,84,82,125,174,187
1110,G,18.55,18.45,18.55,97,56,91,97,257,211
1201,G,18.85,18.75,18.85,187,245,234,272,414,396
1203,R,43.0,43.3,43.3,18,34,24,18,22,26
1210,G,53.2,52.8,53.2,600,731,1022,1587,3006,2412
1213,G,7.1,7.1,7.1,5,5,8,20,22,21
1215,G,92.9,92.0,92.9,349,260,326,674,890,1015
1216,R,70.3,70.4,70.7,3923,6521,8142,6830,7408,7712
1217,G,11.8,11.8,11.9,1417,3501,2629,4119,5052,3501
1218,G,20.8,20.65,20.8,286,545,948,992,1798,2671
1219,G,19.05,19.0,19.05,137,186,467,367,597,999
1220,G,13.6,13.55,13.6,64,60,86,138,190,409
1225,G,53.4,53.3,53.4,9,6,12,40,113,92
1227,G,38.1,38.1,38.2,327,315,473,451,784,721
1229,G,62.5,62.4,62.7,454,487,722,832,1181,1168
1231,G,87.5,87.5,87.7,68,105,137,190,228,243
1232,R,142.0,142.5,142.5,29,37,41,38,45,57
1233,G,35.0,34.85,35.0,7,10,9,11,30,24
1234,G,38.7,38.7,38.8,84,72,109,160,310,315
1235,G,80.0,79.5,80.0,5,7,5,10,16,13
1236,G,24.95,24.9,25.1,22,36,36,54,71,130
1240,G,45.35,44.85,45.35,19,21,19,23,25,42
1256,R,233.0,234.0,235.5,6,5,11,11,13,20
1258,G,0.0,0.0,0.0,0,0,0,0,2,66
1259,G,75.7,75.7,75.7,10,13,8,8,11,14
1262,G,0.0,0.0,0.0,0,0,0,0,0,0
1264,R,288.5,291.5,291.5,3,5,11,11,15,17
1268,G,150.0,148.5,150.0,46,82,142,154,256,299
1301,R,78.0,78.3,78.6,3473,4632,5744,6245,7598,6957
1303,R,64.6,65.3,65.3,5367,4470,6903,5227,5475,5868
1304,G,19.2,19.15,19.2,799,1047,1464,1323,1582,2108
1305,R,22.5,22.75,22.95,1866,1669,2123,2386,2363,2899
1307,G,25.8,25.7,27.0,1342,468,358,1017,1048,646
1308,G,23.75,23.65,23.85,482,514,469,738,962,1369
