time	stockId	中文名稱
0828_1002	6415	矽力*-KY
0828_1002	4961	天鈺
0828_1002	4906	正文
0828_1002	2359	所羅門
0828_0958	6625	必應
0828_0958	6274	台燿
0828_0958	6156	松上
0828_0958	3234	光環
0828_0958	2230	泰茂
0828_0954	9919	康那香
0828_0954	5381	合正
0828_0954	2468	華經
0828_0950	3043	科風
0828_0946	4934	太極
0828_0946	2332	友訊
0828_0942	6173	信昌電
0828_0942	5009	榮剛
0828_0942	2388	威盛
0828_0938	5222	全訊
0828_0938	3227	原相
0828_0938	2436	偉詮電
0828_0934	1471	首利
0828_0930	4909	新復興
0828_0930	3617	碩天
0828_0930	3004	豐達科
0828_0926	7402	邑錡
0828_0926	6234	高僑
0828_0926	5284	jpp-KY
0828_0926	3715	定穎投控
0828_0926	2645	長榮航太
0828_0922	6285	啟碁
0828_0922	4916	事欣科
0828_0922	2485	兆赫
0828_0922	2369	菱生
0828_0922	1584	精剛
0828_0918	8033	雷虎
0828_0918	6223	旺矽
0828_0918	4572	駐龍
0828_0918	4541	晟田
0828_0918	3289	宜特
0828_0918	2634	漢翔
0828_0914	3567	逸昌
0828_0914	1737	臺鹽
0828_0910	8222	寶一
0828_0910	6829	千附精密
0828_0910	6517	保勝光學
0828_0910	6235	華孚
0828_0910	6168	宏齊
0828_0910	3363	上詮
0828_0910	3035	智原
0828_0910	2630	亞航
0828_0906	6418	詠昇
0828_0906	3094	聯傑
