time	stockId	中文名稱
0919_1328	2204	中華
0919_1328	2204	中華
0919_1319	3025	星通
0919_1316	3694	海華
0919_1316	3567	逸昌
0919_1313	3042	晶技
0919_1313	3032	偉訓
0919_1301	4915	致伸
0919_1255	2538	基泰
0919_1246	3531	先益
0919_1237	2537	聯上發
0919_1234	3276	宇環
0919_1228	4919	新唐
0919_1228	2313	華通
0919_1222	2201	裕隆
0919_1213	3014	聯陽
0919_1210	5474	聰泰
0919_1210	3078	僑威
0919_1204	4961	天鈺
0919_1201	2332	友訊
0919_1155	4129	聯合
0919_1155	2329	華泰
0919_1155	1795	美時
0919_1152	6153	嘉聯益
0919_1137	3324	雙鴻
0919_1137	2425	承啟
0919_1128	6231	系微
0919_1125	3715	定穎投控
0919_1125	3709	鑫聯大投控
0919_1119	2402	毅嘉
0919_1104	2637	慧洋-KY
0919_1055	3138	耀登
0919_1055	3037	欣興
0919_1049	6719	力智
0919_1049	5608	四維航
0919_1049	5388	中磊
0919_1043	3362	先進光
0919_1043	2606	裕民
0919_1037	6274	台燿
0919_1034	3260	威剛
0919_1034	2455	全新
0919_1031	3596	智易
0919_1031	3548	兆利
0919_1025	8011	台通
0919_1025	2206	三陽工業
0919_1019	6235	華孚
0919_1019	5258	虹堡
0919_1019	2612	中航
0919_1019	1522	堤維西
0919_1013	6530	創威
0919_1004	9919	康那香
0919_1004	6205	詮欣
0919_1004	3706	神達
0919_1004	3311	閎暉
0919_1004	2449	京元電子
0919_1004	2392	正崴
0919_1004	1524	耿鼎
0919_1001	5465	富驊
0919_1001	3213	茂訊
0919_0955	4979	華星光
0919_0955	3044	健鼎
0919_0955	2364	倫飛
0919_0946	8467	波力-KY
0919_0946	4906	正文
0919_0943	2388	威盛
0919_0940	3005	神基
0919_0940	1584	精剛
0919_0937	3685	元創精密
0919_0934	6257	矽格
0919_0934	1809	中釉
0919_0931	8112	至上
0919_0931	6223	旺矽
0919_0931	4944	兆遠
0919_0931	1514	亞力
0919_0925	8996	高力
0919_0925	8085	福華
0919_0925	6799	來頡
0919_0925	3689	湧德
0919_0925	2355	敬鵬
0919_0925	2354	鴻準
0919_0919	8478	東哥遊艇
0919_0919	6150	撼訊
0919_0919	4402	福大
0919_0919	3325	旭品
0919_0919	2641	正德
0919_0919	1319	東陽
0919_0916	9928	中視
0919_0913	8155	博智
0919_0913	6285	啟碁
0919_0913	5381	合正
0919_0913	1815	富喬
0919_0910	3617	碩天
0919_0910	3450	聯鈞
0919_0910	3363	上詮
0919_0910	2605	新興
0919_0904	6531	愛普*
