time	stockId	中文名稱
0904_1400_挑戰Ema5_13	6505	台塑化
0904_1400_挑戰Ema5_13	6412	群電
0904_1400_挑戰Ema5_13	6404	通訊-KY
0904_1400_挑戰Ema5_13	6281	全國電
0904_1400_挑戰Ema5_13	6259	百徽
0904_1400_挑戰Ema5_13	6191	精成科
0904_1400_挑戰Ema5_13	6136	富爾特
0904_1400_挑戰Ema5_13	5536	聖暉*
0904_1400_挑戰Ema5_13	5522	遠雄
0904_1400_挑戰Ema5_13	5519	隆大
0904_1400_挑戰Ema5_13	5432	新門
0904_1400_挑戰Ema5_13	5388	中磊
0904_1400_挑戰Ema5_13	5278	尚凡
0904_1400_挑戰Ema5_13	4584	君帆
0904_1400_挑戰Ema5_13	4527	方土霖
0904_1400_挑戰Ema5_13	4513	福裕
0904_1400_挑戰Ema5_13	4303	信立
0904_1400_挑戰Ema5_13	3430	奇鈦科
0904_1400_挑戰Ema5_13	2851	中再保
0904_1400_挑戰Ema5_13	2637	慧洋-KY
0904_1400_挑戰Ema5_13	2636	台驊投控
0904_1400_挑戰Ema5_13	2613	中櫃
0904_1400_挑戰Ema5_13	2612	中航
0904_1400_挑戰Ema5_13	2606	裕民
0904_1400_挑戰Ema5_13	2605	新興
0904_1400_挑戰Ema5_13	2603	長榮
0904_1400_挑戰Ema5_13	2530	華建
0904_1400_挑戰Ema5_13	2505	國揚
0904_1400_挑戰Ema5_13	2412	中華電
0904_1400_挑戰Ema5_13	2368	金像電
0904_1400_挑戰Ema5_13	2360	致茂
0904_1400_挑戰Ema5_13	2357	華碩
0904_1400_挑戰Ema5_13	2353	宏碁
0904_1400_挑戰Ema5_13	2008	高興昌
0904_1400_挑戰Ema5_13	1410	南染
0904_1400_挑戰Ema5_13	1219	福壽
0904_1400_挑戰Ema5_13	6505	台塑化
0904_1400_挑戰Ema5_13	6412	群電
0904_1400_挑戰Ema5_13	6404	通訊-KY
0904_1400_挑戰Ema5_13	6281	全國電
0904_1400_挑戰Ema5_13	6259	百徽
0904_1400_挑戰Ema5_13	6191	精成科
0904_1400_挑戰Ema5_13	6136	富爾特
0904_1400_挑戰Ema5_13	5536	聖暉*
0904_1400_挑戰Ema5_13	5522	遠雄
0904_1400_挑戰Ema5_13	5519	隆大
0904_1400_挑戰Ema5_13	5432	新門
0904_1400_挑戰Ema5_13	5388	中磊
0904_1400_挑戰Ema5_13	5278	尚凡
0904_1400_挑戰Ema5_13	4584	君帆
0904_1400_挑戰Ema5_13	4527	方土霖
0904_1400_挑戰Ema5_13	4513	福裕
0904_1400_挑戰Ema5_13	4303	信立
0904_1400_挑戰Ema5_13	3430	奇鈦科
0904_1400_挑戰Ema5_13	2851	中再保
0904_1400_挑戰Ema5_13	2637	慧洋-KY
0904_1400_挑戰Ema5_13	2636	台驊投控
0904_1400_挑戰Ema5_13	2613	中櫃
0904_1400_挑戰Ema5_13	2612	中航
0904_1400_挑戰Ema5_13	2606	裕民
0904_1400_挑戰Ema5_13	2605	新興
0904_1400_挑戰Ema5_13	2603	長榮
0904_1400_挑戰Ema5_13	2530	華建
0904_1400_挑戰Ema5_13	2505	國揚
0904_1400_挑戰Ema5_13	2412	中華電
0904_1400_挑戰Ema5_13	2368	金像電
0904_1400_挑戰Ema5_13	2360	致茂
0904_1400_挑戰Ema5_13	2357	華碩
0904_1400_挑戰Ema5_13	2353	宏碁
0904_1400_挑戰Ema5_13	2008	高興昌
0904_1400_挑戰Ema5_13	1410	南染
0904_1400_挑戰Ema5_13	1219	福壽
0904_1328	3088	艾訊
0904_1325	9958	世紀鋼
0904_1325	5351	鈺創
0904_1325	5340	建榮
0904_1325	3032	偉訓
0904_1319	8932	宏大
0904_1319	6243	迅杰
0904_1319	3406	玉晶光
0904_1316	2472	立隆電
0904_1310	6679	鈺太
0904_1310	2401	凌陽
0904_1258	2488	漢平
0904_1252	3044	健鼎
0904_1249	3548	兆利
0904_1240	2486	一詮
0904_1237	9919	康那香
0904_1237	8930	青鋼
0904_1237	8390	金益鼎
0904_1237	8358	金居
0904_1237	8155	博智
0904_1237	6811	宏碁資訊
0904_1237	6732	昇佳電子
0904_1237	6449	鈺邦
0904_1237	6291	沛亨
0904_1237	6173	信昌電
0904_1237	6155	鈞寶
0904_1237	6122	擎邦
0904_1237	6112	邁達特
0904_1237	5488	松普
0904_1237	5443	均豪
0904_1237	5328	華容
0904_1237	5009	榮剛
0904_1237	4979	華星光
0904_1237	4102	永日
0904_1237	3701	大眾控
0904_1237	3622	洋華
0904_1237	3588	通嘉
0904_1237	3324	雙鴻
0904_1237	3162	精確
0904_1237	3081	聯亞
0904_1237	3051	力特
0904_1237	3004	豐達科
0904_1237	2458	義隆
0904_1237	2455	全新
0904_1237	2358	廷鑫
0904_1237	2201	裕隆
0904_1237	1319	東陽
